,id,x,y,rw,rh,iw,ih,size,imgpath,cy
0,c12_210,874,584,19,20,24,23,380,./img/img_c12_210.jpg,584.0
0,c12_208,811,585,52,21,21,56,1092,./img/img_c12_208.jpg,585.0
0,c12_206,491,586,44,20,20,48,880,./img/img_c12_206.jpg,586.0
0,c12_205,546,586,19,20,24,23,380,./img/img_c12_205.jpg,586.0
0,c12_203,680,586,19,20,24,23,380,./img/img_c12_203.jpg,586.0
0,c12_202,575,587,11,19,25,15,209,./img/img_c12_202.jpg,587.0
0,c12_201,596,587,52,21,21,56,1092,./img/img_c12_201.jpg,587.0
0,c12_211,877,588,11,5,0,0,55,,588.0
0,c12_209,849,594,11,6,0,0,66,,594.0
0,c12_200,492,609,42,19,19,46,798,./img/img_c12_200.jpg,609.0
0,c12_197,471,631,31,19,21,35,589,./img/img_c12_197.jpg,631.0
0,c12_196,513,631,32,20,22,36,640,./img/img_c12_196.jpg,631.0
0,c12_195,874,651,10,20,28,14,200,./img/img_c12_195.jpg,651.0
0,c12_194,812,652,52,21,21,56,1092,./img/img_c12_194.jpg,652.0
0,c12_193,547,653,19,21,25,23,399,./img/img_c12_193.jpg,653.0
0,c12_192,681,653,19,20,24,23,380,./img/img_c12_192.jpg,653.0
0,c12_191,492,654,42,19,19,46,798,./img/img_c12_191.jpg,654.0
0,c12_190,596,654,52,21,21,56,1092,./img/img_c12_190.jpg,654.0
0,c12_188,576,655,10,19,25,14,190,./img/img_c12_188.jpg,655.0
0,c12_187,494,676,41,20,20,45,820,./img/img_c12_187.jpg,676.0
0,c12_185,802,697,63,21,21,67,1323,./img/img_c12_185.jpg,697.0
0,c12_184,803,719,62,21,21,66,1302,./img/img_c12_184.jpg,719.0
0,c12_183,617,720,60,21,21,64,1260,./img/img_c12_183.jpg,720.0
0,c12_182,577,722,29,19,21,33,551,./img/img_c12_182.jpg,722.0
0,c12_177,803,764,64,21,21,68,1344,./img/img_c12_177.jpg,764.0
0,c12_176,621,765,58,21,21,62,1218,./img/img_c12_176.jpg,765.0
0,c12_174,855,786,13,20,26,17,260,./img/img_c12_174.jpg,786.0
0,c12_172,671,788,59,20,20,63,1180,./img/img_c12_172.jpg,788.0
0,c12_171,577,811,50,21,21,54,1050,./img/img_c12_171.jpg,811.0
0,c12_168,577,834,42,20,20,46,840,./img/img_c12_168.jpg,834.0
0,c12_166,694,856,73,20,20,77,1460,./img/img_c12_166.jpg,856.0
0,c12_163,779,862,131,5,0,0,655,,862.0
0,c12_161,478,865,123,5,0,0,615,,865.0
0,c12_160,671,877,52,21,21,56,1092,./img/img_c12_160.jpg,877.0
0,c12_159,784,877,31,20,22,35,620,./img/img_c12_159.jpg,877.0
0,c12_158,825,877,40,19,19,44,760,./img/img_c12_158.jpg,877.0
0,c12_157,733,878,39,19,19,43,741,./img/img_c12_157.jpg,878.0
0,c12_156,598,879,42,20,20,46,840,./img/img_c12_156.jpg,879.0
0,c12_155,474,881,42,19,19,46,798,./img/img_c12_155.jpg,881.0
0,c12_154,825,899,42,20,20,46,840,./img/img_c12_154.jpg,899.0
0,c12_152,724,900,50,20,20,54,1000,./img/img_c12_152.jpg,900.0
0,c12_151,536,902,52,20,20,56,1040,./img/img_c12_151.jpg,902.0
0,c12_149,600,902,40,19,19,44,760,./img/img_c12_149.jpg,902.0
0,c12_148,473,903,51,21,21,55,1071,./img/img_c12_148.jpg,903.0
0,c12_147,826,921,42,20,20,46,840,./img/img_c12_147.jpg,921.0
0,c12_145,724,922,50,21,21,54,1050,./img/img_c12_145.jpg,922.0
0,c12_144,601,924,40,20,22,44,800,./img/img_c12_144.jpg,924.0
0,c12_142,578,925,11,19,25,15,209,./img/img_c12_142.jpg,925.0
0,c12_139,826,944,42,20,20,46,840,./img/img_c12_139.jpg,944.0
0,c12_137,725,945,50,20,20,54,1000,./img/img_c12_137.jpg,945.0
0,c12_136,601,947,40,19,19,44,760,./img/img_c12_136.jpg,947.0
0,c12_135,474,948,92,21,21,96,1932,./img/img_c12_135.jpg,948.0
