,id,uid,x,y,rw,rh,iw,ih,size,imgpath
0,cv1_184,184,362,1045,18,7,0,0,126,
0,cv1_185,185,92,1022,3,3,0,0,9,
0,cv1_186,186,46,1015,3,2,0,0,6,
0,cv1_187,187,359,1009,74,23,23,78,1702,./img/img_cv1_187.jpg
0,cv1_188,188,298,1009,45,23,25,49,1035,./img/img_cv1_188.jpg
0,cv1_189,189,301,1018,11,6,0,0,66,
0,cv1_190,190,455,978,98,24,24,102,2352,./img/img_cv1_190.jpg
0,cv1_191,191,531,993,11,3,0,0,33,
0,cv1_192,192,531,983,11,5,0,0,55,
0,cv1_193,193,334,977,111,24,24,115,2664,./img/img_cv1_193.jpg
0,cv1_194,194,338,983,13,4,0,0,52,
0,cv1_195,195,298,977,25,23,25,29,575,./img/img_cv1_195.jpg
0,cv1_196,196,419,946,98,23,23,102,2254,./img/img_cv1_196.jpg
0,cv1_197,197,452,959,12,4,0,0,48,
0,cv1_198,198,300,945,108,24,24,112,2592,./img/img_cv1_198.jpg
0,cv1_199,199,372,956,11,3,0,0,33,
0,cv1_200,200,386,952,12,8,0,0,96,
0,cv1_201,201,347,913,194,25,25,198,4850,./img/img_cv1_201.jpg
0,cv1_202,202,423,922,11,7,0,0,77,
0,cv1_203,203,300,913,32,22,24,36,704,./img/img_cv1_203.jpg
0,cv1_204,204,371,882,171,24,24,175,4104,./img/img_cv1_204.jpg
0,cv1_205,205,300,881,44,23,25,48,1012,./img/img_cv1_205.jpg
0,cv1_206,206,432,850,49,24,24,53,1176,./img/img_cv1_206.jpg
0,cv1_207,207,359,849,58,24,24,62,1392,./img/img_cv1_207.jpg
0,cv1_208,208,300,849,48,23,23,52,1104,./img/img_cv1_208.jpg
0,cv1_209,209,359,817,74,24,24,78,1776,./img/img_cv1_209.jpg
0,cv1_210,210,375,822,14,4,0,0,56,
0,cv1_211,211,300,817,48,23,23,52,1104,./img/img_cv1_211.jpg
0,cv1_212,212,420,786,73,24,24,77,1752,./img/img_cv1_212.jpg
0,cv1_213,213,299,785,110,24,24,114,2640,./img/img_cv1_213.jpg
0,cv1_214,214,517,759,191,24,24,195,4584,./img/img_cv1_214.jpg
0,cv1_215,215,359,754,73,23,23,77,1679,./img/img_cv1_215.jpg
0,cv1_216,216,414,759,11,3,0,0,33,
0,cv1_217,217,299,753,49,23,23,53,1127,./img/img_cv1_217.jpg
0,cv1_218,218,660,727,25,23,25,29,575,./img/img_cv1_218.jpg
0,cv1_219,219,384,724,194,24,24,198,4656,./img/img_cv1_219.jpg
0,cv1_220,220,626,694,59,24,24,63,1416,./img/img_cv1_220.jpg
0,cv1_221,221,384,690,73,24,24,77,1752,./img/img_cv1_221.jpg
0,cv1_222,222,626,662,60,26,26,64,1560,./img/img_cv1_222.jpg
0,cv1_223,223,638,681,11,3,0,0,33,
0,cv1_224,224,667,666,11,3,0,0,33,
0,cv1_225,225,384,658,62,25,25,66,1550,./img/img_cv1_225.jpg
0,cv1_226,226,430,678,15,3,0,0,45,
0,cv1_227,227,421,670,15,3,0,0,45,
0,cv1_228,228,385,660,12,3,0,0,36,
0,cv1_229,229,653,631,32,23,25,36,736,./img/img_cv1_229.jpg
0,cv1_230,230,493,627,37,24,26,41,888,./img/img_cv1_230.jpg
0,cv1_231,231,420,626,62,24,24,66,1488,./img/img_cv1_231.jpg
0,cv1_232,232,385,626,24,23,25,28,552,./img/img_cv1_232.jpg
0,cv1_233,233,626,598,59,24,24,63,1416,./img/img_cv1_233.jpg
0,cv1_234,234,384,594,98,25,25,102,2450,./img/img_cv1_234.jpg
0,cv1_235,235,349,561,61,24,24,65,1464,./img/img_cv1_235.jpg
0,cv1_236,236,373,580,11,3,0,0,33,
0,cv1_237,237,323,561,14,23,29,18,322,./img/img_cv1_237.jpg
0,cv1_238,238,657,500,39,23,25,43,897,./img/img_cv1_238.jpg
0,cv1_239,239,631,500,22,23,27,26,506,./img/img_cv1_239.jpg
0,cv1_240,240,543,498,49,24,24,53,1176,./img/img_cv1_240.jpg
0,cv1_241,241,571,506,14,8,0,0,112,
0,cv1_242,242,459,497,49,24,24,53,1176,./img/img_cv1_242.jpg
0,cv1_243,243,423,496,25,23,25,29,575,./img/img_cv1_243.jpg
0,cv1_244,244,374,495,37,24,26,41,888,./img/img_cv1_244.jpg
0,cv1_245,245,378,504,11,5,0,0,55,
0,cv1_246,246,313,494,51,24,24,55,1224,./img/img_cv1_246.jpg
0,cv1_247,247,289,494,8,23,33,12,184,./img/img_cv1_247.jpg
0,cv1_248,248,657,466,39,24,26,43,936,./img/img_cv1_248.jpg
0,cv1_249,249,631,466,21,24,28,25,504,./img/img_cv1_249.jpg
0,cv1_250,250,543,465,49,24,24,53,1176,./img/img_cv1_250.jpg
0,cv1_251,251,571,473,14,8,0,0,112,
0,cv1_252,252,458,464,50,24,24,54,1200,./img/img_cv1_252.jpg
0,cv1_253,253,422,463,25,23,25,29,575,./img/img_cv1_253.jpg
0,cv1_254,254,373,462,38,24,26,42,912,./img/img_cv1_254.jpg
0,cv1_255,255,377,470,12,6,0,0,72,
0,cv1_256,256,313,461,50,24,24,54,1200,./img/img_cv1_256.jpg
0,cv1_257,257,288,461,8,22,32,12,176,./img/img_cv1_257.jpg
0,cv1_258,258,631,432,65,25,25,69,1625,./img/img_cv1_258.jpg
0,cv1_259,259,543,431,49,24,24,53,1176,./img/img_cv1_259.jpg
0,cv1_260,260,570,440,14,8,0,0,112,
0,cv1_261,261,470,430,47,24,26,51,1128,./img/img_cv1_261.jpg
0,cv1_262,262,1228,429,3,3,0,0,9,
0,cv1_263,263,409,429,50,24,24,54,1200,./img/img_cv1_263.jpg
0,cv1_264,264,360,429,38,24,26,42,912,./img/img_cv1_264.jpg
0,cv1_265,265,312,427,38,24,26,42,912,./img/img_cv1_265.jpg
0,cv1_266,266,315,436,12,7,0,0,84,
0,cv1_267,267,288,427,8,23,33,12,184,./img/img_cv1_267.jpg
0,cv1_268,268,259,427,13,23,29,17,299,./img/img_cv1_268.jpg
0,cv1_269,269,1227,424,3,3,0,0,9,
0,cv1_270,270,441,362,96,25,25,100,2400,./img/img_cv1_270.jpg
0,cv1_271,271,511,375,22,7,0,0,154,
0,cv1_272,272,511,367,14,5,0,0,70,
0,cv1_273,273,374,361,43,26,28,47,1118,./img/img_cv1_273.jpg
0,cv1_274,274,258,360,97,26,26,101,2522,./img/img_cv1_274.jpg
0,cv1_275,275,280,374,17,6,0,0,102,
0,cv1_276,276,94,360,1,1,0,0,1,
0,cv1_277,277,740,298,129,23,23,133,2967,./img/img_cv1_277.jpg
0,cv1_278,278,811,312,13,5,0,0,65,
0,cv1_279,279,800,304,16,8,0,0,128,
0,cv1_280,280,744,300,18,13,15,22,234,./img/img_cv1_280.jpg
0,cv1_281,281,524,296,196,24,24,200,4704,./img/img_cv1_281.jpg
0,cv1_282,282,685,311,14,3,0,0,42,
0,cv1_283,283,615,310,11,4,0,0,44,
0,cv1_284,284,601,304,11,8,0,0,88,
0,cv1_285,285,528,304,22,9,9,26,198,./img/img_cv1_285.jpg
0,cv1_286,286,651,303,11,5,0,0,55,
0,cv1_287,287,546,303,12,3,0,0,36,
0,cv1_288,288,693,301,22,9,9,26,198,./img/img_cv1_288.jpg
0,cv1_289,289,375,295,129,24,24,133,3096,./img/img_cv1_289.jpg
0,cv1_290,290,453,307,14,5,0,0,70,
0,cv1_291,291,435,304,15,8,0,0,120,
0,cv1_292,292,451,301,13,6,0,0,78,
0,cv1_293,293,437,301,11,3,0,0,33,
0,cv1_294,294,478,300,14,5,0,0,70,
0,cv1_295,295,259,295,96,23,23,100,2208,./img/img_cv1_295.jpg
0,cv1_296,296,279,307,14,6,0,0,84,
0,cv1_297,297,296,301,14,3,0,0,42,
0,cv1_298,298,279,299,14,5,0,0,70,
0,cv1_299,299,595,232,71,22,22,75,1562,./img/img_cv1_299.jpg
0,cv1_300,300,644,236,18,7,0,0,126,
0,cv1_301,301,529,232,59,22,22,63,1298,./img/img_cv1_301.jpg
0,cv1_302,302,570,243,13,5,0,0,65,
0,cv1_303,303,570,236,12,4,0,0,48,
0,cv1_304,304,475,232,46,22,22,50,1012,./img/img_cv1_304.jpg
0,cv1_305,305,503,236,13,7,0,0,91,
0,cv1_306,306,707,201,80,22,22,84,1760,./img/img_cv1_306.jpg
0,cv1_307,307,711,204,15,6,0,0,90,
0,cv1_308,308,642,201,28,22,24,32,616,./img/img_cv1_308.jpg
0,cv1_309,309,492,201,124,23,23,128,2852,./img/img_cv1_309.jpg
0,cv1_310,310,587,213,12,3,0,0,36,
0,cv1_311,311,512,213,14,5,0,0,70,
0,cv1_312,312,512,205,15,5,0,0,75,
0,cv1_313,313,510,202,11,3,0,0,33,
0,cv1_314,314,361,201,112,23,23,116,2576,./img/img_cv1_314.jpg
0,cv1_315,315,427,171,63,22,22,67,1386,./img/img_cv1_315.jpg
0,cv1_316,316,433,184,12,4,0,0,48,
0,cv1_317,317,691,170,30,21,23,34,630,./img/img_cv1_317.jpg
0,cv1_318,318,592,170,79,22,22,83,1738,./img/img_cv1_318.jpg
0,cv1_319,319,595,176,14,3,0,0,42,
0,cv1_320,320,659,171,11,3,0,0,33,
0,cv1_321,321,509,170,63,22,22,67,1386,./img/img_cv1_321.jpg
0,cv1_322,322,598,105,11,10,12,15,110,./img/img_cv1_322.jpg
0,cv1_323,323,809,87,1,1,0,0,1,
0,cv1_324,324,803,81,5,6,0,0,30,
0,cv1_325,325,0,81,3,1,0,0,3,
0,cv1_326,326,350,79,449,57,57,453,25593,./img/img_cv1_326.jpg
0,cv1_327,327,518,117,11,6,0,0,66,
0,cv1_328,328,553,111,11,3,0,0,33,
0,cv1_329,329,441,108,38,12,12,42,456,./img/img_cv1_329.jpg
0,cv1_330,330,755,107,12,5,0,0,60,
0,cv1_331,331,770,106,22,21,23,26,462,./img/img_cv1_331.jpg
0,cv1_332,332,700,106,17,11,13,21,187,./img/img_cv1_332.jpg
