,id,uid,x,y,rw,rh,iw,ih,size,imgpath,orig_y,prev_rec_y,chg_in_y
0,sw1_876,876,335,419.0,13,26,34,17,338,./img/img_sw1_876.jpg,419,410.0,9.0
0,sw1_873,873,312,424.0,5,10,18,9,50,./img/img_sw1_873.jpg,424,419.0,5.0
0,sw1_862,862,610,436.0,41,23,25,45,943,./img/img_sw1_862.jpg,438,424.0,12.0
0,sw1_863,863,664,436.0,150,24,24,154,3600,./img/img_sw1_863.jpg,436,436.0,0.0
0,sw1_867,867,764,436.0,14,14,18,18,196,./img/img_sw1_867.jpg,440,436.0,0.0
0,sw1_1040,1040,1152,450.0,173,24,24,177,4152,./img/img_sw1_1040.jpg,450,436.0,14.0
0,sw1_855,855,1379,454.0,15,17,21,19,255,./img/img_sw1_855.jpg,454,450.0,4.0
0,sw1_845,845,1397,476.0,63,10,10,67,630,./img/img_sw1_845.jpg,476,454.0,22.0
0,sw1_836,836,569,489.0,67,22,22,71,1474,./img/img_sw1_836.jpg,492,476.0,13.0
0,sw1_835,835,650,489.0,65,22,22,69,1430,./img/img_sw1_835.jpg,492,489.0,0.0
0,sw1_842,842,883,489.0,35,21,23,39,735,./img/img_sw1_842.jpg,489,489.0,0.0
0,sw1_838,838,923,489.0,27,19,21,31,513,./img/img_sw1_838.jpg,490,489.0,0.0
0,sw1_841,841,967,489.0,10,20,28,14,200,./img/img_sw1_841.jpg,489,489.0,0.0
0,sw1_831,831,180,505.0,17,23,27,21,391,./img/img_sw1_831.jpg,505,489.0,16.0
0,sw1_818,818,664,546.0,95,24,24,99,2280,./img/img_sw1_818.jpg,546,505.0,41.0
0,sw1_803,803,1266,593.0,5,20,36,9,100,./img/img_sw1_803.jpg,593,546.0,47.0
0,sw1_802,802,474,601.0,8,21,31,12,168,./img/img_sw1_802.jpg,601,593.0,8.0
0,sw1_800,800,491,601.0,36,21,23,40,756,./img/img_sw1_800.jpg,601,601.0,0.0
0,sw1_799,799,544,601.0,24,21,23,28,504,./img/img_sw1_799.jpg,601,601.0,0.0
0,sw1_798,798,582,601.0,13,21,27,17,273,./img/img_sw1_798.jpg,601,601.0,0.0
0,sw1_797,797,609,601.0,36,22,24,40,792,./img/img_sw1_797.jpg,601,601.0,0.0
0,sw1_795,795,650,601.0,26,21,23,30,546,./img/img_sw1_795.jpg,601,601.0,0.0
0,sw1_793,793,691,601.0,39,21,23,43,819,./img/img_sw1_793.jpg,601,601.0,0.0
0,sw1_784,784,459,626.0,27,21,23,31,567,./img/img_sw1_784.jpg,627,601.0,25.0
0,sw1_782,782,568,626.0,95,22,22,99,2090,./img/img_sw1_782.jpg,627,626.0,0.0
0,sw1_778,778,677,626.0,81,22,22,85,1782,./img/img_sw1_778.jpg,627,626.0,0.0
0,sw1_788,788,898,626.0,6,20,32,10,120,./img/img_sw1_788.jpg,626,626.0,0.0
0,sw1_787,787,923,626.0,26,11,11,30,286,./img/img_sw1_787.jpg,626,626.0,0.0
0,sw1_786,786,965,626.0,11,20,26,15,220,./img/img_sw1_786.jpg,626,626.0,0.0
0,sw1_781,781,735,630.0,11,13,17,15,143,./img/img_sw1_781.jpg,630,626.0,4.0
0,sw1_764,764,361,652.0,11,30,40,15,330,./img/img_sw1_764.jpg,654,630.0,22.0
0,sw1_763,763,568,652.0,13,21,27,17,273,./img/img_sw1_763.jpg,654,652.0,0.0
0,sw1_762,762,595,652.0,40,22,24,44,880,./img/img_sw1_762.jpg,654,652.0,0.0
0,sw1_759,759,650,652.0,66,21,21,70,1386,./img/img_sw1_759.jpg,654,652.0,0.0
0,sw1_767,767,895,652.0,22,21,23,26,462,./img/img_sw1_767.jpg,652,652.0,0.0
0,sw1_766,766,925,652.0,24,20,22,28,480,./img/img_sw1_766.jpg,652,652.0,0.0
0,sw1_765,765,964,652.0,12,20,26,16,240,./img/img_sw1_765.jpg,652,652.0,0.0
0,sw1_745,745,402,687.0,7,11,17,11,77,./img/img_sw1_745.jpg,687,652.0,35.0
0,sw1_739,739,402,700.0,7,18,28,11,126,./img/img_sw1_739.jpg,700,687.0,13.0
0,sw1_731,731,568,706.0,40,21,23,44,840,./img/img_sw1_731.jpg,707,700.0,6.0
0,sw1_734,734,895,706.0,22,21,23,26,462,./img/img_sw1_734.jpg,706,706.0,0.0
0,sw1_732,732,926,706.0,23,20,22,27,460,./img/img_sw1_732.jpg,706,706.0,0.0
0,sw1_710,710,568,732.0,94,21,21,98,1974,./img/img_sw1_710.jpg,734,706.0,26.0
0,sw1_715,715,882,732.0,34,21,23,38,714,./img/img_sw1_715.jpg,732,732.0,0.0
0,sw1_712,712,926,732.0,22,20,22,26,440,./img/img_sw1_712.jpg,733,732.0,0.0
0,sw1_706,706,397,737.0,12,25,33,16,300,./img/img_sw1_706.jpg,738,732.0,5.0
0,sw1_707,707,500,737.0,53,15,15,57,795,./img/img_sw1_707.jpg,737,737.0,0.0
0,sw1_697,697,1194,747.0,15,18,22,19,270,./img/img_sw1_697.jpg,747,737.0,10.0
0,sw1_690,690,394,764.0,15,52,64,19,780,./img/img_sw1_690.jpg,764,747.0,17.0
0,sw1_675,675,141,780.0,16,24,30,20,384,./img/img_sw1_675.jpg,780,764.0,16.0
0,sw1_664,664,458,787.0,95,21,21,99,1995,./img/img_sw1_664.jpg,787,780.0,7.0
0,sw1_662,662,567,787.0,68,21,21,72,1428,./img/img_sw1_662.jpg,787,787.0,0.0
0,sw1_660,660,649,787.0,63,21,21,67,1323,./img/img_sw1_660.jpg,787,787.0,0.0
0,sw1_657,657,203,792.0,14,15,19,18,210,./img/img_sw1_657.jpg,792,787.0,5.0
0,sw1_643,643,459,813.0,94,22,22,98,2068,./img/img_sw1_643.jpg,813,792.0,21.0
0,sw1_640,640,567,813.0,67,22,22,71,1474,./img/img_sw1_640.jpg,813,813.0,0.0
0,sw1_634,634,649,813.0,80,22,22,84,1760,./img/img_sw1_634.jpg,813,813.0,0.0
0,sw1_627,627,1347,824.0,12,9,11,16,108,./img/img_sw1_627.jpg,824,813.0,11.0
0,sw1_616,616,394,837.0,14,10,12,18,140,./img/img_sw1_616.jpg,837,824.0,13.0
0,sw1_610,610,458,837.0,149,22,22,153,3278,./img/img_sw1_610.jpg,840,837.0,0.0
0,sw1_609,609,621,837.0,25,22,24,29,550,./img/img_sw1_609.jpg,840,837.0,0.0
