,id,x,y,rw,rh,iw,ih,size,imgpath
0,c12_16,621,1705,13,4,0,0,52,
0,c12_15,600,1706,12,5,0,0,60,
0,c12_8,551,1715,301,70,70,305,21070,./img/img_c12_8.jpg
0,c12_12,650,1767,12,3,0,0,36,
0,c12_11,728,1773,13,5,0,0,65,
0,c12_10,707,1775,12,5,0,0,60,
0,c12_9,587,1777,14,4,0,0,56,
0,c12_7,793,1810,54,22,22,58,1188,./img/img_c12_7.jpg
0,c12_6,857,1810,64,21,21,68,1344,./img/img_c12_6.jpg
0,c12_5,728,1811,54,21,21,58,1134,./img/img_c12_5.jpg
0,c12_4,556,1812,28,22,24,32,616,./img/img_c12_4.jpg
0,c12_2,593,1812,217,45,45,221,9765,./img/img_c12_2.jpg
0,c12_1,695,1812,22,20,22,26,440,./img/img_c12_1.jpg
0,c12_0,480,1813,65,21,21,69,1365,./img/img_c12_0.jpg
0,c12_3,618,1846,13,3,0,0,39,
