,id,uid,x,y,rw,rh,iw,ih,size,imgpath,orig_y,prev_rec_y,chg_in_y
0,ik1_410,410,303,217.0,51,1607,1733,55,81957,./img/img_ik1_410.jpg,217,,
0,ik1_384,384,455,300.0,420,166,166,424,69720,./img/img_ik1_384.jpg,300,217.0,83.0
0,ik1_389,389,674,303.0,196,52,52,200,10192,./img/img_ik1_389.jpg,303,300.0,3.0
0,ik1_388,388,456,313.0,195,60,60,199,11700,./img/img_ik1_388.jpg,313,303.0,10.0
0,ik1_387,387,462,313.0,405,135,135,409,54675,./img/img_ik1_387.jpg,315,313.0,0.0
0,ik1_376,376,568,347.0,265,69,69,269,18285,./img/img_ik1_376.jpg,347,313.0,34.0
0,ik1_380,380,740,347.0,91,57,59,95,5187,./img/img_ik1_380.jpg,349,347.0,0.0
0,ik1_374,374,514,354.0,42,60,64,46,2520,./img/img_ik1_374.jpg,358,347.0,7.0
0,ik1_378,378,570,354.0,89,57,59,93,5073,./img/img_ik1_378.jpg,356,354.0,0.0
0,ik1_379,379,668,354.0,63,55,57,67,3465,./img/img_ik1_379.jpg,354,354.0,0.0
0,ik1_375,375,516,361.0,38,54,58,42,2052,./img/img_ik1_375.jpg,361,354.0,7.0
0,ik1_372,372,776,374.0,7,9,13,11,63,./img/img_ik1_372.jpg,374,361.0,13.0
0,ik1_386,386,662,391.0,211,64,64,215,13504,./img/img_ik1_386.jpg,391,374.0,17.0
0,ik1_385,385,459,405.0,204,58,58,208,11832,./img/img_ik1_385.jpg,405,391.0,14.0
0,ik1_350,350,604,602.0,267,48,48,271,12816,./img/img_ik1_350.jpg,602,405.0,197.0
0,ik1_347,347,534,606.0,56,25,25,60,1400,./img/img_ik1_347.jpg,606,602.0,4.0
0,ik1_343,343,376,611.0,101,24,24,105,2424,./img/img_ik1_343.jpg,612,606.0,5.0
0,ik1_345,345,491,611.0,29,21,23,33,609,./img/img_ik1_345.jpg,611,611.0,0.0
0,ik1_342,342,888,622.0,19,23,27,23,437,./img/img_ik1_342.jpg,622,611.0,11.0
0,ik1_340,340,605,632.0,108,25,25,112,2700,./img/img_ik1_340.jpg,632,622.0,10.0
0,ik1_335,335,380,637.0,56,25,25,60,1400,./img/img_ik1_335.jpg,640,632.0,5.0
0,ik1_336,336,450,637.0,14,24,30,18,336,./img/img_ik1_336.jpg,638,637.0,0.0
0,ik1_337,337,478,637.0,113,25,25,117,2825,./img/img_ik1_337.jpg,637,637.0,0.0
0,ik1_330,330,382,663.0,196,30,30,200,5880,./img/img_ik1_330.jpg,663,637.0,26.0
0,ik1_329,329,777,680.0,81,27,27,85,2187,./img/img_ik1_329.jpg,680,663.0,17.0
0,ik1_328,328,678,684.0,81,24,24,85,1944,./img/img_ik1_328.jpg,684,680.0,4.0
0,ik1_327,327,567,688.0,93,27,27,97,2511,./img/img_ik1_327.jpg,688,684.0,4.0
0,ik1_325,325,453,691.0,97,27,27,101,2619,./img/img_ik1_325.jpg,691,688.0,3.0
0,ik1_323,323,382,697.0,58,28,28,62,1624,./img/img_ik1_323.jpg,697,691.0,6.0
0,ik1_306,306,638,738.0,96,27,27,100,2592,./img/img_ik1_306.jpg,739,697.0,41.0
0,ik1_312,312,752,738.0,34,24,26,38,816,./img/img_ik1_312.jpg,738,738.0,0.0
0,ik1_302,302,526,742.0,96,28,28,100,2688,./img/img_ik1_302.jpg,743,738.0,4.0
0,ik1_305,305,805,742.0,108,12,12,112,1296,./img/img_ik1_305.jpg,742,742.0,0.0
0,ik1_314,314,757,746.0,11,12,16,15,132,./img/img_ik1_314.jpg,746,742.0,4.0
0,ik1_313,313,771,746.0,11,12,16,15,132,./img/img_ik1_313.jpg,746,746.0,0.0
0,ik1_300,300,387,755.0,111,12,12,115,1332,./img/img_ik1_300.jpg,755,746.0,9.0
0,ik1_284,284,639,761.0,262,31,31,266,8122,./img/img_ik1_284.jpg,761,755.0,6.0
0,ik1_295,295,772,771.0,14,14,18,18,196,./img/img_ik1_295.jpg,771,761.0,10.0
0,ik1_275,275,472,774.0,65,26,26,69,1690,./img/img_ik1_275.jpg,775,771.0,3.0
0,ik1_277,277,542,774.0,12,24,32,16,288,./img/img_ik1_277.jpg,774,774.0,0.0
0,ik1_272,272,402,779.0,57,25,25,61,1425,./img/img_ik1_272.jpg,779,774.0,5.0
0,ik1_269,269,516,799.0,110,27,27,114,2970,./img/img_ik1_269.jpg,799,779.0,20.0
0,ik1_266,266,404,805.0,98,26,26,102,2548,./img/img_ik1_266.jpg,805,799.0,6.0
0,ik1_268,268,439,816.0,12,10,12,16,120,./img/img_ik1_268.jpg,816,805.0,11.0
0,ik1_263,263,795,816.0,54,25,25,58,1350,./img/img_ik1_263.jpg,817,816.0,0.0
0,ik1_261,261,476,827.0,139,32,32,143,4448,./img/img_ik1_261.jpg,827,816.0,11.0
