,id,uid,x,y,rw,rh,iw,ih,size,imgpath
0,ik2_0,0,1075,1868,1,1,0,0,1,
0,ik2_1,1,1063,1867,1,1,0,0,1,
0,ik2_2,2,894,1848,14,20,24,18,280,./img/img_ik2_2.jpg
0,ik2_3,3,640,1842,242,25,25,246,6050,./img/img_ik2_3.jpg
0,ik2_4,4,847,1857,18,4,0,0,72,
0,ik2_5,5,647,1853,15,4,0,0,60,
0,ik2_6,6,727,1851,11,3,0,0,33,
0,ik2_7,7,861,1850,11,3,0,0,33,
0,ik2_8,8,774,1848,12,6,0,0,72,
0,ik2_9,9,616,1841,14,19,23,18,266,./img/img_ik2_9.jpg
0,ik2_10,10,1079,1839,1,1,0,0,1,
0,ik2_11,11,1079,1835,1,1,0,0,1,
0,ik2_12,12,1054,1820,3,2,0,0,6,
0,ik2_13,13,1077,1819,3,3,0,0,9,
0,ik2_14,14,1067,1800,11,1,0,0,11,
0,ik2_15,15,1055,1800,1,1,0,0,1,
0,ik2_16,16,1074,1757,1,1,0,0,1,
0,ik2_17,17,1053,1750,2,2,0,0,4,
0,ik2_18,18,1065,1744,1,1,0,0,1,
0,ik2_19,19,610,1708,299,138,138,303,41262,./img/img_ik2_19.jpg
0,ik2_20,20,1072,1707,1,1,0,0,1,
0,ik2_21,21,1055,1707,1,1,0,0,1,
0,ik2_22,22,1077,1695,1,1,0,0,1,
0,ik2_23,23,1077,1670,1,3,0,0,3,
0,ik2_24,24,1076,1666,1,2,0,0,2,
0,ik2_25,25,1075,1626,1,2,0,0,2,
0,ik2_26,26,801,1625,14,18,22,18,252,./img/img_ik2_26.jpg
0,ik2_27,27,665,1625,2,1,0,0,2,
0,ik2_28,28,589,1621,27,21,23,31,567,./img/img_ik2_28.jpg
0,ik2_29,29,829,1619,114,29,29,118,3306,./img/img_ik2_29.jpg
0,ik2_30,30,922,1637,12,7,0,0,84,
0,ik2_31,31,856,1635,11,3,0,0,33,
0,ik2_32,32,860,1629,13,3,0,0,39,
0,ik2_33,33,846,1628,12,4,0,0,48,
0,ik2_34,34,852,1626,12,3,0,0,36,
0,ik2_35,35,631,1619,42,25,27,46,1050,./img/img_ik2_35.jpg
0,ik2_36,36,447,1618,178,54,54,182,9612,./img/img_ik2_36.jpg
0,ik2_37,37,534,1659,16,5,0,0,80,
0,ik2_38,38,553,1657,11,10,12,15,110,./img/img_ik2_38.jpg
0,ik2_39,39,483,1657,11,3,0,0,33,
