,id,uid,x,y,rw,rh,iw,ih,size,imgpath,orig_y,prev_rec_y,chg_in_y
0,c12_208,208,811,585,52,21,56,25,1092,./img/img_c12_208.jpg,585,584,1
0,c12_206,206,491,586,44,20,48,24,880,./img/img_c12_206.jpg,586,585,1
0,c12_205,205,546,586,19,20,23,24,380,./img/img_c12_205.jpg,586,586,0
0,c12_204,204,616,586,63,43,67,47,2709,./img/img_c12_204.jpg,586,586,0
0,c12_203,203,680,586,19,20,23,24,380,./img/img_c12_203.jpg,586,586,0
0,c12_202,202,575,587,11,19,15,23,209,./img/img_c12_202.jpg,587,586,1
0,c12_201,201,596,587,52,21,56,25,1092,./img/img_c12_201.jpg,587,587,0
0,c12_200,200,492,609,42,19,46,23,798,./img/img_c12_200.jpg,609,587,22
0,c12_199,199,544,609,61,22,65,26,1342,./img/img_c12_199.jpg,609,609,0
0,c12_197,197,471,631,31,19,35,23,589,./img/img_c12_197.jpg,631,609,22
0,c12_196,196,513,631,32,20,36,24,640,./img/img_c12_196.jpg,631,631,0
0,c12_195,195,874,651,10,20,14,24,200,./img/img_c12_195.jpg,651,631,20
0,c12_194,194,812,652,52,21,56,25,1092,./img/img_c12_194.jpg,652,651,1
0,c12_193,193,547,653,19,21,23,25,399,./img/img_c12_193.jpg,653,652,1
0,c12_192,192,681,653,19,20,23,24,380,./img/img_c12_192.jpg,653,653,0
0,c12_191,191,492,654,42,19,46,23,798,./img/img_c12_191.jpg,654,653,1
0,c12_190,190,596,654,52,21,56,25,1092,./img/img_c12_190.jpg,654,654,0
0,c12_189,189,617,654,63,42,67,46,2646,./img/img_c12_189.jpg,654,654,0
0,c12_188,188,576,655,10,19,14,23,190,./img/img_c12_188.jpg,655,654,1
0,c12_187,187,494,676,41,20,45,24,820,./img/img_c12_187.jpg,676,655,21
0,c12_186,186,544,676,123,43,127,47,5289,./img/img_c12_186.jpg,676,676,0
0,c12_185,185,802,697,63,21,67,25,1323,./img/img_c12_185.jpg,697,676,21
0,c12_184,184,803,719,62,21,66,25,1302,./img/img_c12_184.jpg,719,697,22
0,c12_183,183,617,720,60,21,64,25,1260,./img/img_c12_183.jpg,720,719,1
0,c12_182,182,577,722,29,19,33,23,551,./img/img_c12_182.jpg,722,720,2
0,c12_180,180,813,741,52,22,56,26,1144,./img/img_c12_180.jpg,741,722,19
0,c12_179,179,577,744,80,22,84,26,1760,./img/img_c12_179.jpg,744,741,3
0,c12_177,177,803,764,64,21,68,25,1344,./img/img_c12_177.jpg,764,744,20
0,c12_176,176,621,765,58,21,62,25,1218,./img/img_c12_176.jpg,765,764,1
0,c12_174,174,855,786,13,20,17,24,260,./img/img_c12_174.jpg,786,765,21
0,c12_173,173,618,787,43,22,47,26,946,./img/img_c12_173.jpg,787,786,1
0,c12_172,172,671,788,59,20,63,24,1180,./img/img_c12_172.jpg,788,787,1
0,c12_171,171,577,811,50,21,54,25,1050,./img/img_c12_171.jpg,811,788,23
0,c12_170,170,804,831,63,22,67,26,1386,./img/img_c12_170.jpg,831,811,20
0,c12_168,168,577,834,42,20,46,24,840,./img/img_c12_168.jpg,834,831,3
0,c12_167,167,613,856,72,22,76,26,1584,./img/img_c12_167.jpg,856,834,22
0,c12_166,166,694,856,73,20,77,24,1460,./img/img_c12_166.jpg,856,856,0
0,c12_160,160,671,877,52,21,56,25,1092,./img/img_c12_160.jpg,877,856,21
0,c12_159,159,784,877,31,20,35,24,620,./img/img_c12_159.jpg,877,877,0
0,c12_158,158,825,877,40,19,44,23,760,./img/img_c12_158.jpg,877,877,0
0,c12_157,157,733,878,39,19,43,23,741,./img/img_c12_157.jpg,878,877,1
0,c12_156,156,598,879,42,20,46,24,840,./img/img_c12_156.jpg,879,878,1
0,c12_155,155,474,881,42,19,46,23,798,./img/img_c12_155.jpg,881,879,2
0,c12_154,154,825,899,42,20,46,24,840,./img/img_c12_154.jpg,899,881,18
0,c12_152,152,724,900,50,20,54,24,1000,./img/img_c12_152.jpg,900,899,1
0,c12_151,151,536,902,52,20,56,24,1040,./img/img_c12_151.jpg,902,900,2
0,c12_149,149,600,902,40,19,44,23,760,./img/img_c12_149.jpg,902,902,0
0,c12_148,148,473,903,51,21,55,25,1071,./img/img_c12_148.jpg,903,902,1
0,c12_147,147,826,921,42,20,46,24,840,./img/img_c12_147.jpg,921,903,18
0,c12_145,145,724,922,50,21,54,25,1050,./img/img_c12_145.jpg,922,921,1
0,c12_144,144,601,924,40,20,44,24,800,./img/img_c12_144.jpg,924,922,2
0,c12_143,143,474,925,92,22,96,26,2024,./img/img_c12_143.jpg,925,924,1
0,c12_142,142,578,925,11,19,15,23,209,./img/img_c12_142.jpg,925,925,0
0,c12_139,139,826,944,42,20,46,24,840,./img/img_c12_139.jpg,944,925,19
0,c12_137,137,725,945,50,20,54,24,1000,./img/img_c12_137.jpg,945,944,1
0,c12_136,136,601,947,40,19,44,23,760,./img/img_c12_136.jpg,947,945,2
0,c12_135,135,474,948,92,21,96,25,1932,./img/img_c12_135.jpg,948,947,1
